Current Position Requirements,Current Position,Alternative 1,Alternative 2
nan,English Language Courses,Project Manager,Administrative Assistant
"Bachelors degree in Computer Science or a related sphere; Knowledge of scripting languages (Bash, Perl, Python are preferable); Basic understanding of IC digital design. Knowledge of hardware description language (Verilog is preferable). Work experience with RTL simulators, waveform viewers and synthesis tools; Work experience on Unix/Linux OS; Good knowledge of English (ability of reading/ understanding technical literature, composing status reports, clearly reporting the problems).",QA Engineer,Software Developer,Accountant
University degree in medicine or pharmacy; Enthusiastic and self-motivated personality; Good interpersonal and organizational skills.,Medical Representative,Administrative Assistant,Sales Manager
"University degree in Medicine; Excellent interpersonal, communication and negotiation skills; Ability to quickly learn and effectively introduce information about new drugs; As needed, ability to demonstrate creativity, problem solving and analytic set of mind; Ability to work independently as well as in a team; Understand and utilize scientific and medical data, take initiative, analyze problems and suggest solutions; A marketing background is plus (either through education or through sales); Enthusiasm, accuracy and a flexible attitude; Ability to work within strict deadlines; Serious interest in career advancement through organizational layers; Excellent knowledge of Russian language, knowledge of English is a plus; Knowledge of principles of evidence based medicine; Knowledge of PC (MS office package).",Medical Representative,Marketing Specialist,Sales Manager
"Higher education in architecture or design is highly preferred; Strong knowledge of object oriented programming and design patterns; Strong knowledge of Corel Draw, Adobe Photoshop, knowledge of Cut Plotter is preferable; Good understanding of Web Services; Good knowledge of English and Russian languages; Ability to work under pressure.",Graphic Designer,Software Developer,Web Developer
University degree (MBA is a plus);  Excellent knowledge of written and spoken Armenian and Russian;  Good interpersonal and communication skills;  Computer literacy (experience in working with database softs is a plus);  Knowledge of foreign languages is a plus.,Marketing Specialist,Administrative Assistant,Accountant
"Bachelor's degree in graphic design or related field. Comparable combination of education and experience may be considered; 3-5 years of advertising or marketing collateral design experience. Brand experience helpful; Proficiency in Microsoft Office Suite; Proficiency with related software: Illustrator, Photoshop, Acrobat, MS Office. PowerPoint and Corel experience helpful; Some web design, maintenance experience preferred;  Knowledge of print production press inspections; Superior verbal and written communication skills; Strong organization and time management skills; Ability to work independently and in a team environment.",Graphic Designer,Administrative Assistant,Marketing Specialist
"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/ Servlet and Java Server Faces; Persistence layer: Hibernate and IBATIS; Integration technologies: Spring Framework; Databases: basic knowledge of MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Servers: Tomcat, Apache2; OS: Linux Ubuntu; Good communication skills; Good English language skills; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills.",Java Developer,Software Developer,Web Developer
Master's degree in Law; Sound research skills; Technological competency; Good drafting skills; Lateral thinking ability; Good client manner; Punctual and hardworking personality; Smart business thinking and skills.,Lawyer,Marketing Manager,Accountant
"Education: University degree: Finance or Economics; Skills: Knowledge of RA Tax legislation, especially regarding the reporting requirements; Knowledge of RA Accounting principles and standards; Knowledge of Armenian financial regulations in banking sphere; Ability to analyze financial data and prepare financial reports; Knowledge of computer applications, including MS Office; knowledge of Armenian Software; Ability to improve professional skills in the field of finance, awareness over the latest developments and events; Ability to work under time pressure and stress; High sense of responsibility; High quality self discipline; Excellent knowledge of Armenian and Russian language, good knowledge of English. Experience: At least 5 years of relevant work experience.",Chief Accountant,Accountant,Lawyer
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"The following knowledge, skills and abilities may be acquired through a combination of formal schooling, self-education, prior experience, or on-the-job training: Required Masters degree in law, and/ or sociology; At least 3 years of experience in project management, design, implementation, monitoring, evaluation and report writing; Proven management skills; Good knowledge of humanitarian industry, commitment to humanitarian mandate; Exceptional verbal and written communication skills in Armenian, English and Russian languages; Ability to represent World Vision to major program donors in a highly professional manner; Excellent organizational and time management skills; Good interpersonal skills; Advanced computer literacy in Microsoft Office; Thorough knowledge and understanding of the political, legal, economic and cultural context of Armenia related to child protection and abuse prevention; Thorough knowledge of the EC grant requirements; Experience in communicating with Government, Non-Government organizations and other stakeholders;   Experience in implementing EC grants; Honesty and commitment to World Vision principles.",Project Manager,Lawyer,Office Manager
"Competitive candidates will have the following qualifications: Minimum two years of professional experience; Advanced degree from a leading university; Excellent spoken and written Armenian and English languages; Excellent computer skills, including extensive experience with word processing, spreadsheets, presentation software and internet search and applications; Experience studying and/or working both in Armenia and abroad; Excellent communication skills; Flexibility, dynamism and dedication; Teamwork skills and a highly positive attitude.",Administrative Assistant,Office Manager,Project Manager
"Bachelors or higher degree in Computer Sciences or a related discipline with at least 4 years of work experience in software development; 3 years of work experience in .NET Framework ASP.NET/C#; Experience in development of Web Services; Expert knowledge of .NET Framework 3.5 and AJAX; Good knowledge of MS SQL Server/ MySQL; Multi-tier web applications development experience; Strong communication, problem solving and collaboration skills; Good knowledge of written and spoken English.",Software Developer,Web Developer,Java Developer
"University degree; At least 3 years of work experience as a Chief Accountant in medium and large enterprises; Good knowledge of English or German languages; Accounting certificate is a plus; Excellent knowledge of the Armenian tax laws and RA labour legislation; Open-mindness;  Analytical, communicational and organizational skills.",Chief Accountant,Accountant,Lawyer
"University degree in Computer Sciences, Telecommunications Engineering or related fields; At least 5 years of relevant work experience, preferably in banking sphere; Advanced knowledge of TCP/ IP networks, routing and  associated protocols;  Advanced knowledge on networks design, WAN and LAN networks topologies and architectures;  Advanced knowledge of Windows OS; Advanced knowledge in Linux/ Unix; Strong knowledge and hands on experience on the provision of IT services;     High sense of responsibility;  Ability to work as a team member and independently; Ability to work flexible hours as needed and work well under pressure and meet deadlines.",System Administrator,Sales Manager,Accountant
"University degree in law;  3-5 years of work experience in legal field;  Thorough knowledge of the Armenian legal system, laws and regulations in general, with the emphasis on company law;  Excellent knowledge of financial and labor sectors laws and regulation of RA;  Strong interpersonal, organization and communication skills;  Ability to work well under pressure;  Can work independently, result oriented personality, self motivated and self reliable with high ethical standards;  Fluent in Armenian and Russian; good knowledge of English language is a plus; Working knowledge of Microsoft Office.",Lawyer,Chief Accountant,Administrative Assistant
"At least 1 year of Graphic Designer experience; Academical art background is a solid plus; Excellent proficiency in Adobe PhotoShop, Adobe Illustrator, Corel Draw programs; Advanced teamwork and collaboration skills; Willingness to work in a very dynamic environment.",Graphic Designer,Accountant,Project Manager
"Excellent English language skills, both written and spoken; Strong knowledge of the quality assurance techniques, testing concepts, methodologies and tools; At least 2 years of experience in Software Quality Assurance; Experience in web, desktop, mobile applications testing; Knowledge of QA and SDLC processes; Ability to apply UNIT testing is a plus;  Knowledge of MS SQL queries is desired;  Understanding of automation testing tools will be a plus.",QA Engineer,Software Developer,Java Developer
"A qualified accountant (CA/ ICWA/ CPA/ ACCA); Associate Charter Accountant is preferred; At least 1 to 2 years of experience in similar capacities; Retail Commercial knowledge is preferable; Experience in Tax planning, both direct and indirect; Experience in ERP packages; Versatile in SEBI rules and FEMA Act; Familiarity with exchange control framework of Armenia; Knowledge of IFRS reporting; Ability to analyze the problem with an excellence of all financial and operational aspects to make quick decisions; Good communication skills; Ability to cope up with pressure and deadline; Good team player, Ability to align financial objectives with business goals.",Accountant,Chief Accountant,Sales Manager
"University degree in Medicine or Pharmacology; Excellent written & verbal communication skills; Analytical and problem solving skills; Skillful communication abilities; Initiative and strong motivation to achieve extra-ordinary results; Career conscious and willing to work hard; Energetic, creative and result-oriented; Pleasing personality and analytical abilities;  Ability to work independently as well as part of a team; Attention to details and accuracy; Ability to work in teams and coordinate efforts to ensure timely completion of work assignments; Knowledge of English languages is a plus; Knowledge of PC (MS office package).",Medical Representative,Administrative Assistant,Sales Manager
"At least 4 years of relevant work experience; Higher education in Economics, Finance, Accounting or other related spheres; Possession of a license of CBA for accountants; Knowledge of MS Office, fluency in Word and Excel; Knowledge of AS-Bank 4.0; Knowledge of tax and banking legislation; Knowledge of the Labor Code and Civil Legislation; Fundamental level in ACCA is a plus; Fluency in the Armenian and English languages; Good team player; Ability to carry out the tasks within strict deadlines; Relentless attention to detail (detail-oriented person); Knowledge of business ethics.",Accountant,Chief Accountant,Lawyer
Degree in Law; Good knowledge of the Armenian legislation; Excellent research and writing ability; Good typing and computer skills.,Lawyer,Administrative Assistant,Accountant
"Strong knowledge of modern Web Standards: HTML5, CSS3; JavaScript/ jQuery experience; ability to write plugins; Experience in PHP object-oriented design, MVC architecture, frameworks and development; Experience in MySQL; Experience in responsive design, jQuery mobile or other approaches used designed for mobile users; Experience with subversion, git or other source control tools; Knowledge in typography, whitespace, and other details that occur at the intersection of design and code; Ability to work independently and as part of a team; Basic knowledge of Adobe Photoshop; Knowledge of design patterns; Good knowledge of English language.",Web Developer,PHP Developer,Graphic Designer
"University degree in Finance; At least 3 years of work experience (work experience in credit or bank area is preferable); The license provided by RA Central Bank will be considered as an advantage; Experience to work with large amount of cash; Good computer skills, knowledge of Armsoft Bank 3.0 will be an asset; Organizational, communication skills and sense of responsibility; Individual and team work capacities.",Accountant,Chief Accountant,Lawyer
"Higher pharmaceutical/ medical education; Minimum 1 year of relevant work experience; Fluency in Armenian and Russian languages, knowledge of English would be beneficial; Proficiency in MS Office Suite (Word, Excel and PowerPoint); Ability to work in a team, flexibility and ability to work under pressure and within limited time frames; Excellent communication skills; Extremely organized and highly motivated personality.",Medical Representative,Administrative Assistant,Office Manager
"Knowledge of developing and debugging enterprise applications in various software languages including: Java, JavaScript, J2EE; Knowledge of Object Oriented Design and Analysis; Familiarity with the industry technology  and framework, such as: SQL, JSON, REST, etc; Performance tuning and profiling expertise is desirable; Component framework and modern application container knowledge is a plus; Agile Software Development experience is a plus; At least 5 years of experience in an application development position; Bachelor's degree in Computer Sciences or in a related discipline; relevant experience is also acceptable.  Desired Qualifications: SOA, ESB, and distributed systems understanding; Knowledge of Maven, Git, GitHub, Gradle, etc.; Knowledge of JPA, ORM: Hibernate, EclipseLink, JMS, ActiveMQ, RabbitMQ, AngularJS; Continuous Integration/ Delivery skills; Team-concentric software development skills; high performance software delivery skills in a team.",Software Engineer,Java Developer,Software Developer
"Relevant university degree; Background in Mathematics is highly desired; Over 3 years of work experience in software development;  Excellent knowledge of C++, Windows API, Visual C++ and DirectX; Ability to work on projects with development team; Problem solving skills.",Software Developer,Project Manager,Software Engineer
"Higher Pharmaceutical/ Medical education; Previous work experience is a big plus; Good knowledge of Armenian and Russian languages; knowledge of English language is preferred; Ability to work effectively in a team; Excellent interpersonal communication and networking skills; Computer skills; The candidate should be goal-oriented, initiative, sociable.",Medical Representative,Administrative Assistant,Sales Manager
"Degree in Law. Master's degree is a plus; Minimum 1 year of relevant professional experience/ legal practice and experience; Excellent knowledge of Armenian legislation, norms, regulations and Armenian and International legal structures; Ability to work under pressure and within strict time frames; Excellent knowledge of Armenian and Russian languages. Knowledge of English language is a plus.",Lawyer,Chief Accountant,Accountant
"Higher education in the field of Economics; At least 2 years of managerial experience in a relevant field; Excellent knowledge of verbal and written Armenian, Russian and English languages; Good knowledge of MS Word, Excel, Outlook Express and other relevant software; Analytical thinking and leadership skills; motivation for sales, sales planning, building relationships, coaching, managing processes and developing budgets; market knowledge and staffing skills; High level of accuracy; Self-confidence, flexibility and positive thinking; Ability to work in a team and independently; Ability to work under pressure on multiple tasks and within tight deadlines.",Sales Manager,Administrative Assistant,Marketing Specialist
"Advanced degree in Accounting or Finance; 5 years of relevant work experience; Good knowledge and understanding of Armenian Accounting standards, financial rules and tax regulations; Knowledge of Accounting software; Ability to work under the pressure; Good written and verbal communication skills in Armenian and Russian languages.",Chief Accountant,Accountant,Lawyer
nan,English Language Courses,Project Manager,Administrative Assistant
"University degree, (higher technical education is preferred); Work experience in relevant field is desired; Fluency in Armenian, Russian and English languages; Analytical thinking skills;  Communication and organizational skills; Computer skills; Open minded personality, attentive to details and punctual.",Accountant,Sales Manager,Administrative Assistant
"Degree in finance, auditing, accounting or a related field, or the equivalent combination of education and experience; Strong knowledge of Tax legislation; Impressive experience as a Chief Accountant; Extensive knowledge of the principles, methods and practices of accounting, International and Armenian Accounting and Auditing Standards, local accounting laws and legislations; Ability to analyze, evaluate and establish systems of accounts; Good knowledge of accounting software (1C) and reporting automated systems; Ability to establish and maintain effective working relationships with officials, management, employees and the general public; Ability to educate staff on successful management in their areas of responsibility; Excellent knowledge of Armenian and Russian languages. Knowledge of English language is a plus.",Chief Accountant,Accountant,Lawyer
nan,English Language Courses,Project Manager,Administrative Assistant
"University degree in Computer Sciences or the other relevant field; Profound knowledge of Microsoft Windows, Linux and software security; 3-4 years of relevant work experience; Fluency in English, Armenian and Russian languages.",Software Engineer,System Administrator,Sales Manager
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"University degree; Knowledge of telecommunication (preferable) and good selling skills; Experience in working with external clients; Good learning ability; Excellent communication skills and ability to work with people in conflict situations; Initiative personality; Valid drivers license (preferable); Advanced computer skills: experience in working with MS Office; Fluency in Armenian, Russian and English languages.",Sales Manager,Administrative Assistant,Medical Representative
"Good knowledge of OOP and OOD; Experience in projects as a Java developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than 1 year; Experience in the development of multi-layered client-server applications, client and server components; Experience in Oracle and MS SQL databases; Good understanding of design patterns; Basic knowledge in UML; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Punctuality and accuracy in work, ability to work efficiently without supervision; Willingness to increase competencies and professionalism; Basic knowledge of English language; Fluent knowledge of Russian language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Good productive capacity; Energetic personality; Ability to express  thoughts clearly; Ability to work on tasks without supervision.",Java Developer,Software Developer,Web Developer
"Higher education; Working experience in the field of design and printing; Ability to work under pressure; Excellent knowledge of Armenian and Russian languages. English is an asset; Computer literacy in Corel Draw, Adobe Illustrator, Adobe Photoshop, MS Office and Internet; Excellent communication skills; Ability to work in a team environment; Ability to manage multiple projects and meet deadlines.",Graphic Designer,Administrative Assistant,Office Manager
"Four-year college degree in computer science or other related technical discipline, plus two years of related experience, or a Master of Science degree; Experience in designing, developing and troubleshooting software in Java and related web technologies is desired; 3-7 years of programming experience especially in Java; Minimum 2 years of work experience in J2EE development; Previous experience with one or more production/ mission critical web applications is highly desirable; Working knowledge and experience in Web technologies and web-based dynamic application development, especially Java Servlets, JSPs and Web Services; Working knowledge of XML, XSLT, HTML, CSS, Java Scripts, AJAX and related technologies; Experience with Java/RDBMS ORM technologies and DBMS design and programming within web applications; Ability to use PC software such as word processing, database, spreadsheet and flowchart and computer aided software engineering (CASE) tools; Effective written and oral communication skills; Knowledge of customer needs and competing products is desirable; Ability to analyze and solve complex software engineering problems; Ability to prioritize work, complete multiple tasks and work under deadline and budget guidelines; Fluency in English language.",Software Engineer,Java Developer,Software Developer
nan,English Language Courses,Project Manager,Administrative Assistant
"Higher education in Economics, Finance or Accounting; Strong knowledge of the Armenian tax legislation and regulations; Knowledge of the Labor Legislation, Civil Code and IFRS; Excellent organizational, analytical and problem-solving skills; Knowledge of the Armenian, Russian and English languages; Knowledge of financial and accounting applications, 1C Program, the MS Office; Experience in working with cash is a plus; At least 2 years of experience in accounting in large and medium-size enterprises (preferably, international).",Accountant,Chief Accountant,Lawyer
"BS degree in a relevant field; 2 years of work experience as a PHP/ MySQL developer; Strong knowledge of PHP5 (Zend Framework), Java Script (JQuery, ExtJS, Prototype), HTML, CSS, XML; Knowledge of MySQL5 (stored procedures, trigers, transactions); Knowledge of LINUX (Debian, Ubuntu); Experience in service oriented development; Ability to work within a team; Strong problem solving skills; Good communication skills; Fluency in English language.",PHP Developer,Java Developer,Web Developer
All applicants must address each selection criterion detailed below with specific and comprehensive information supporting each item. Higher pharmaceutical/ medical education; Fluency in Armenia and Russian languages. Knowledge of English language is preferred; Excellent communication skills and ability to work in a team; Strong sense of responsibility; Previous work experience is a big plus;  Computer literacy.,Medical Representative,Sales Manager,Administrative Assistant
"University degree in economics, law, sociology, languages or a related field; 2 year relevant work experience; Good knowledge of Armenian Labor Code; Excellent knowledge of Armenian, Russian and English languages; Knowledge of computer literacy (MS Excel, Word and Outlook); Excellent communication skills; Strong organizational skills, attention to details and high sense of responsibility; Ability to work under pressure.",Administrative Assistant,Lawyer,Sales Manager
"Bachelor's or equivalent degree in Computer Sciences, Engineering or a related field; At least 3 years of professional experience in IT field (experience in retail will be a privilege); Extensive practical experience in and knowledge of techniques for planning, organizing, and monitoring multiple IT projects simultaneously; Good Knowledge of Unix-based systems (mainly Linux and FreeBSD) and MS server and workstation families products (Domain Controller, Active Directory, etc.); Ability to configure and support WEB/ Mail/ DNS servers, etc.; Knowledge of Hosting Services; Deep knowledge of database management system MySQL, the operating system on which the database is running (Windows Server, *nix (mainly Linux/ FreeBSD);  Knowledge of Network, IPv4, routers, etc.; Good knowledge of English language.",System Administrator,Java Developer,Software Developer
"University degree in medicine or pharmacy; Fluent knowledge of Russian language, knowledge of English could be beneficial; Experience in the pharmaceutical industry, though not essential, would be an advantage.",Medical Representative,Sales Manager,Administrative Assistant
"University degree in medicine; Fluent knowledge of Armenian and Russian languages; Good backgrounds of general medical knowledge; Experience in sales or marketing would be an advantage; MS office, e-mail programs general knowledge.",Medical Representative,Sales Manager,Accountant
"Higher education (Marketing, Economics); Business communication skills; Experience in the field of research; Creative and analytical abilities; Organizational and initiative skills; Excellent knowledge of PC (user level); Excellent knowledge of Russian and Armenian languages.",Marketing Manager,Marketing Specialist,Sales Manager
"University degree in Computer Sciences or a related field; At least 3 years of work experience in system administration (preferably in banking or insurance company); At least 2 years of work experience with Linux FreeBSD, Centos, Proxy server, mail server administration and problem management; At least 2 years of experience with Windows 2008 R2, Active Directory, DNS, DHCP and Exchange Server 2010 administration and problem management; Experience with Cisco router 800 series administration; Experience with PIX firewall administration; Experience with Asterisk server administration;  Experience with database administration;  Fluency in Armenian and Russian languages; knowledge of technical English language; Excellent communication skills; Ability to work independently;  Sense of responsibility; Ability to work under pressure;  Educability.",System Administrator,Project Manager,Administrative Assistant
"Higher Education Excellent knowledge of Armenian, English and Russian languages Work experience in International organizations or Embassies is necessary.",Administrative Assistant,Sales Manager,Office Manager
nan,English Language Courses,Project Manager,Administrative Assistant
"Higher Technical education; At least 3 years of work experience in the field of sales management; Proven success in sales ability; full knowledge of the sales process; High analytic, organizational and leadership ability; Drive, motivations and acute attention to details in ensuring all sales opportunities are explored; Strong client management and negotiations skills; Problem-solving skills with the ability to generate ideas and solutions; Ability to work in transparent collaboration with the project and technical teams; Strong communication skills including written, oral, e-mail and telephone; Excellent knowledge of Armenian and Russian languages; good knowledge of English language; Computer literacy: excellent knowledge of internet-related software; Excellent organizational and time management skills; Capability of working independently and within a team.",Sales Manager,Project Manager,Administrative Assistant
Higher Medical education; Experience in the pharmaceutical industry would be an advantage; Fluency in Russian language.,Medical Representative,Sales Manager,Administrative Assistant
"Excellent knowledge of English language both communication and technical level; BS in Computer Science or a related field; At least 1 year of experience as QA Engineer role with solid progression in responsibility; Experience with testing high performance systems is a plus; Working knowledge of Linux/ Unix, Solaris and Windows environments is a plus; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Solid knowledge of the quality assurance techniques, testing concepts, methodologies and tools; Expert ability to apply quality assurance knowledge to in-depth testing and test plans; Excellent analytical skills with the ability to investigate and research multiple sources; Excellent interpersonal and oral/ written communications skills; Advanced knowledge of Trading Systems and Trading concepts, particularly within the Equities realm, is considered a very important asset; Expert ability to apply concepts of unit, system, regression, product, integration and acceptance testing; Testing Tools: Broad experience using different testing tools (jmeter, jprofiler, selenium, etc.); Ability to adapt and learn quickly with any other testing tool; Good understanding of automation testing approaches.",QA Engineer,System Administrator,Project Manager
"Excellent communication skills;  Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus;  Basic computer and internet, e-mail skills;  Punctual, communicative, open-minded, self-confident personality, eager to learn and flexible;  Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"Advanced knowledge of OOP and OOD; More than 2 years of professional work experience in projects as a Java developer in J2SE (JSP, Servlets, JDBC and Axis); Professional work experience in the development of client-server applications, client and server Web application components; Ability to develop high quality and clean code, apply proper language constructions and use quality algorithms.",Java Developer,Software Developer,Project Manager
"Higher Pharmaceutical/ Medical education; Work experience in drugstore or as Medical Representative would be an advantage; Fluency in Russian language; knowledge of English language is preferred; Excellent interpersonal, communication and networking skills; Computer skills (Ms Word, Excel, Outlook and PowerPoint).",Medical Representative,Administrative Assistant,Office Manager
"Advanced degree (Master's or higher) in business with combination of university subject in Technical field; Relevant and proven work experience; Work experience in telecommunication sphere is highly desirable; Excellent communication and presentation skills;  Excellent customer oriented skills; Excellent computer skills;  Ability to work under pressure and during non working hours and days; Excellent knowledge of Armenian, Russian and English languages.",Sales Manager,Administrative Assistant,Lawyer
Professional knowledge of C++ programming language; Work experience with Borland C++ Builder IDE. DESIRED QUALIFICATIONS: Knowledge of Delphi; Experience in network programming; Experience in *nix environment; Experience in multithreaded programming; Good communication skills; Ability to work in team.,Software Developer,Software Engineer,System Administrator
"University degree in Finance; At least 5 years of relevant work experience; English, Russian and French language skills; ACCA certificate will be an advantage; Knowledge of AS; Excellent knowledge of the legal framework regulating the relevant sector; Negotiation skills; Ability to coordinate work and resoluteness.",Chief Accountant,Lawyer,Accountant
"University degree in Accounting and Finance;   5 years of work experience;                       Knowledge of Armenian Tax Law, Legislation and Regulations; Knowledge of International (primarily U.S. GAAP) Financial Reporting Standards; Computer literacy: proficient in Microsoft Office, Excel, Word, Power Point, etc.; Knowledge of Armsoft accounting program; Fluent knowledge of English (speaking and writing); Good organizational skills.",Accountant,Chief Accountant,Lawyer
"Minimum 4 years of accounting work experience at local and/or international organizations;  Perfect knowledge of Armenian tax legislation, principles, methods and practices of accounting, Accounting Standards of the Republic of Armenia; Ability to work effectively as a member of a multi-disciplinary team; Good knowledge of Armenian, English and Russian languages; Good knowledge of accounting software AS 3.SQL is preferred; Ability to work under pressure and good communication skills.",Accountant,Chief Accountant,Lawyer
"Up to 3 years of experience of working on the web; candidates with more than 3 years of experience are also welcome; Working knowledge of HTML5, CSS3, JavaScript and jQuery; Work experience with OOP, PHP; knowledge of PHP based frameworks is a plus; Experience with WordPress development, theming, customization and plugins; Work experience in building mobile responsive layouts; Working knowledge of various CSS frameworks is a great plus; Experience with MySQL; At least intermediate level English language skills; Analytical thinking and multitasking skills; Can-do approach, desire to develop professionally and take new and challenging tasks.",Web Developer,PHP Developer,Java Developer
"University degree in Fine Art/ Design is a plus; At least 2 years of professional experience; Ability to work in a team; Ability to work under strict deadlines; Knowledge of Adobe Illustrator, Photoshop, Corel Draw; knowledge of 3D Max is a plus; Good knowledge of printing procedures and terminology; Excellent communication skills; Creative thinking; Responsible and disciplined personality; Result-oriented and initiative personality; Problem-solving skills; Desktop publishing tools.",Graphic Designer,Sales Manager,Accountant
"Engineering Degree (preferably in Computer Sciences); At least 2 years of work experience in QA/ Software Testing; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Advanced knowledge of the quality assurance techniques, testing concepts, methodologies and tools; Expert ability to apply quality assurance knowledge to in-depth testing and test plans; Excellent analytical skills with the ability to investigate and research multiple sources; Ability to adapt and learn quickly with any testing tool; Ability to perform and maintain test cases; Ability to perform manual testing; Solid knowledge of bug tracking systems; Exposure to both client-server and web-based application testing will be an added advantage; Experience in testing AJAX, PHP and desk applications is a plus; Understanding of basic database concepts; Good knowledge of English and Russian languages both communication and technical level; Team player.",QA Engineer,Software Developer,Project Manager
A degree of a mechanical engineer; Fluent in English language; Several years of business experience; Knowledge of drilling tools and/or the company's products is surely of advantage.,Sales Manager,Project Manager,Marketing Manager
"University degree in IT, Telecommunication, Engineering, Business with combination of University subjects in technical and economic fields; Relevant and proven work experience in IT, Telecommunication, engineering sphere is highly desirable; Excellent communication and presentation skills; Excellent customer-oriented skills; Excellent computer skills; Ability to work under pressure and during non-working hours and days; Ability to handle multiple tasks; Excellent knowledge of Armenian and Russian languages for verbal communication, with advanced level of writing skills.",Sales Manager,Administrative Assistant,Project Manager
"Higher medical education; Basic knowledge of medicine and pharmacology; Fluency in Armenian and Russian languages, knowledge of English is welcome; Computer skills (MS Office); Communication skills and flexibility.",Medical Representative,Administrative Assistant,Sales Manager
"Higher education diploma; Work experience in a related field is preferred; Proficiency in computer (MS Office, Internet and Power Point); Fluency in English, Russian and Armenian languages; Good communication skills; Self-motivated personality.",Administrative Assistant,Sales Manager,Medical Representative
"At least 5 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge of (X)HTML, CSS, JavaScript, XML; Optional Technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux (You can choose your distro), the company uses Ubuntu, Windows (is accepted but Linux is more required for the company); High Skills with Linux Operating System: System Administration, Writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus;  Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Developer,Web Developer
"Bachelor's or Master's degree in Computer Sciences or in a related discipline; Good knowledge of ASP, ASP.NET, C# is desired; Good knowledge of HTML, JavaScript and CSS; Good knowledge of SQL (MS SQL or MySQL); Knowledge of PHP is a plus;  Knowledge of JQuery is a plus; Good technical command of the English language.",Web Developer,Software Developer,PHP Developer
"Bachelor's/ Masters degree in Computer Sciences or in a related field; At least 2 years of experience in developing Java web-based applications; Good Java and Spring/ Spring MVC development experience in a project setting; Experience with JSP, AJAX, JQuery and JavaScript; Experience with XML, HTML, CSS, cross-browser compatibility; Experience with relational database (MS SQL Server, MySQL); Experience in data model and object design; Good understanding of OOP principles; Good analytical skills; Good knowledge of English language on both communication and technical level; Excellent communication and teamwork skills; Ability to work independently.",Java Developer,Web Developer,Software Developer
"Relevant university degree;  Relevant work experience;  Fluency in Armenian, English & Russian languages; Self-motivated, ability to work within deadlines, well-organized;  Experience in operating office equipment and good computer skills.",Administrative Assistant,Office Manager,Sales Manager
"Degree in Accounting, Finance or other related fields; At least 4 years of experience as a Chief Accountant, of which at least 2 years of experience in the construction is obligatory; Extensive knowledge of generally accepted standard accounting principles and regulatory requirements applicable to the work; Skills in researching, compiling, and summarizing statistical data and information; Knowledge of software applications Arm Soft and 1C; Good knowledge of  RA Tax Legislation; Strong analytical skills; High level of accuracy; Excellent knowledge of Armenian language; Good knowledge of Russian language;  Knowledge of English language is a plus; Ability to travel; Ability to work under pressure on multiple tasks and within tight deadlines.",Chief Accountant,Accountant,Sales Manager
"Higher education in Accounting, Finance, Audit or a related field; Strong knowledge of the Armenian tax legislation and accounting regulations; At least 5 years of work experience as a Chief Accountant; Knowledge of the Armenian Software 4.0; Knowledge of MS Office, particularly advanced Excel skills; Good knowledge of Armenian, Russian and English languages; Excellent analytical and problem-solving skills; Strong organizational and management skills.",Chief Accountant,Accountant,Office Manager
